# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1433
#@/user_id	Amber_76Game_Windows
a 	啊	c=5 d=1.33539 t=1433
de mo 	地膜	c=1 d=0.740818 t=1433
deng 	等	c=1 d=0.66034 t=1433
deng ji 	等級	c=6 d=1.72327 t=1433
deng lu 	登錄	c=1 d=0.481909 t=1433
deng ru 	登入	c=1 d=0.164474 t=1433
di fang 	地方	c=2 d=0.901576 t=1433
dian 	點	c=3 d=0.589867 t=1433
dian an 	點按	c=1 d=0.0165727 t=1433
dian ji 	點擊	c=4 d=0.26405 t=1433
dian jin qu 	點進去	c=1 d=0.774916 t=1433
dian wo 	點我	c=1 d=0.0518189 t=1433
diao yong 	調用	c=4 d=1.30309 t=1433
ding duan 	頂端	c=1 d=0.453845 t=1433
ding yi 	定義	c=3 d=1.08858 t=1433
diu qi 	丟棄	c=1 d=0.501576 t=1433
dou 	都	c=3 d=1.00285 t=1433
dou hui 	都會	c=1 d=0.392586 t=1433
dou shi 	都是	c=1 d=0.408608 t=1433
dou wei 	都爲	c=1 d=0.323033 t=1433
dou you 	都有	c=1 d=0.0972957 t=1433
dui bu qi 	對不起	c=1 d=0.0269169 t=1433
dui dui 	對對	c=1 d=0.941765 t=1433
dui ying 	對應	c=2 d=0.635863 t=1433
duo 	多	c=0 d=0.0794534 t=1433
duo ge 	多個	c=1 d=0.484325 t=1433
duo kan shu 	多看書	c=1 d=0.798516 t=1433
duo yu 	多餘	c=1 d=0.491644 t=1433
er 	而	c=1 d=0.0131675 t=1433
er bian 	耳邊	c=1 d=0.0257325 t=1433
er bu shi 	而不是	c=1 d=0.543351 t=1433
er qie 	而且	c=2 d=0.236091 t=1433
er shi 	而是	c=1 d=0.458406 t=1433
fa gei 	發給	c=0 d=0.0158817 t=1433
fa gei wo 	發給我	c=1 d=0.159614 t=1433
fa xian 	發現	c=5 d=1.63521 t=1433
fan 	煩	c=1 d=0.115903 t=1433
fan ye 	樊也	c=1 d=0.115325 t=1433
fan ye 	翻頁	c=3 d=0.342535 t=1433
fang an 	方案	c=1 d=0.0120946 t=1433
fang fa 	方法	c=2 d=0.441602 t=1433
fang shi 	方式	c=1 d=0.19593 t=1433
fang wen 	訪問	c=3 d=1.51574 t=1433
fang zai 	放在	c=2 d=0.441871 t=1433
fei chang 	非常	c=1 d=0.0403566 t=1433
fen 	分	c=1 d=0.102797 t=1433
fen cheng 	分成	c=1 d=0.222017 t=1433
fen hao 	分號	c=1 d=0.980199 t=1433
fen wei 	分爲	c=1 d=0.0639279 t=1433
fo le 	佛了	c=3 d=0.177994 t=1433
fu ben 	副本	c=2 d=0.940033 t=1433
fu xi 	複習	c=1 d=0.822835 t=1433
fu xuan 	複選	c=2 d=0.131421 t=1433
fu yu 	賦予	c=1 d=0.301194 t=1433
fu zhi 	複製	c=1 d=0.15259 t=1433
fu zhi 	賦值	c=1 d=0.489192 t=1433
gai 	該	c=1 d=0.603506 t=1433
gan 	肝	c=1 d=0.188247 t=1433
gan gong 	趕工	c=0 d=0.0112478 t=1433
gan gong zai 	趕工在	c=1 d=0.113042 t=1433
gan jue 	感覺	c=4 d=0.66365 t=1433
gang hui lai 	剛回來	c=1 d=0.0143357 t=1433
gao fang 	高仿	c=1 d=0.0128424 t=1433
gao su 	告訴	c=1 d=0.111917 t=1433
ge 	個	c=2 d=0.123214 t=1433
ge ge 	各個	c=1 d=0.826959 t=1433
ge shi 	格式	c=2 d=0.195233 t=1433
ge xiang 	各項	c=1 d=0.180866 t=1433
gei 	給	c=1 d=0.481909 t=1433
gei ni 	給你	c=3 d=1.8606 t=1433
gen 	根	c=1 d=0.219808 t=1433
gen 	跟	c=2 d=0.331211 t=1433
gen bu shang 	跟不上	c=1 d=0.18452 t=1433
gen sui 	跟隨	c=1 d=0.0587185 t=1433
geng 	更	c=1 d=0.690734 t=1433
geng xiang 	更像	c=1 d=0.066205 t=1433
gong neng 	功能	c=1 d=0.831104 t=1433
gong zuo 	工作	c=5 d=0.270938 t=1433
gou xuan 	勾選	c=1 d=0.144424 t=1433
guan 	關	c=1 d=0.0682212 t=1433
guan bi 	關閉	c=4 d=0.0863534 t=1433
guan fang 	官方	c=5 d=1.44545 t=1433
guan jian zi 	關鍵字	c=1 d=0.421052 t=1433
guan lian 	關聯	c=1 d=0.0558548 t=1433
guan qia 	關卡	c=5 d=1.10311 t=1433
guo 	國	c=1 d=0.128735 t=1433
guo 	過	c=2 d=0.172045 t=1433
guo duan 	果斷	c=1 d=0.0114473 t=1433
ha xi 	哈希	c=1 d=0.519442 t=1433
hai 	還	c=7 d=2.44777 t=1433
hai shi 	還是	c=2 d=0.196079 t=1433
hai yao 	還要	c=1 d=0.0459593 t=1433
hai you 	還有	c=2 d=0.489543 t=1433
hai zai 	還在	c=2 d=0.118233 t=1433
han shu 	函數	c=2 d=0.767206 t=1433
hang 	行	c=1 d=0.386741 t=1433
hao 	好	c=1 d=0.677057 t=1433
hao 	豪	c=1 d=1 t=1432
hao ji ci 	好幾次	c=1 d=0.995012 t=1433
hao kan 	好看	c=1 d=0.970446 t=1433
hao le 	好了	c=0 d=0.0509156 t=1433
hao wan 	好玩	c=0 d=0.0882497 t=1433
hao xiang 	好像	c=1 d=0.0930145 t=1433
hao yi hui 	好一會	c=1 d=0.0225956 t=1433
hao you 	好友	c=2 d=0.819388 t=1433
he 	和	c=12 d=1.73382 t=1433
he xin 	核心	c=1 d=0.162026 t=1433
hen 	很	c=1 d=0.112478 t=1433
hen hao 	很好	c=1 d=0.995012 t=1433
hen nan 	很難	c=2 d=0.474734 t=1433
hen shao 	很少	c=1 d=0.11475 t=1433
hou 	後	c=5 d=1.1722 t=1433
hou lai 	後來	c=2 d=0.125556 t=1433
hou xuan 	候選	c=1 d=0.99005 t=1433
hu xiang 	互相	c=1 d=0.408608 t=1433
hua 	花	c=1 d=0.0939493 t=1433
hua 	話	c=2 d=0.0408172 t=1433
hua ban 	滑板	c=1 d=0.133989 t=1433
huan ting 	幻聽	c=1 d=0.024972 t=1433
hui 	會	c=9 d=1.59516 t=1433
hui dao 	回到	c=1 d=0.449329 t=1433
hui fu 	回覆	c=1 d=0.311923 t=1433
hui qu 	回去	c=1 d=0.111359 t=1433
hui zai 	會在	c=1 d=0.0197421 t=1433
hun 	混	c=2 d=0.299887 t=1433
huo 	或	c=2 d=0.504465 t=1433
huo de 	獲得	c=2 d=0.998349 t=1433
huo dong 	活動	c=1 d=0.486752 t=1433
huo qu 	獲取	c=3 d=1.13211 t=1433
huo wu 	活物	c=1 d=0.0125881 t=1433
huo wu 	火舞	c=1 d=0.496585 t=1433
huo zhe 	或者	c=3 d=0.97585 t=1433
ji 	及	c=1 d=0.371577 t=1433
ji ben 	基本	c=1 d=0.247833 t=1433
ji chu 	基礎	c=2 d=0.710541 t=1433
ji ci 	幾次	c=1 d=0.0958472 t=1433
ji de 	記得	c=2 d=0.211661 t=1433
ji hu 	幾乎	c=1 d=0.271173 t=1433
ji ke 	即可	c=1 d=0.158025 t=1433
ji neng 	技能	c=5 d=1.37184 t=1433
ji neng dian 	技能點	c=1 d=0.0399551 t=1433
ji shi 	即使	c=1 d=0.082085 t=1433
ji shi 	幾十	c=1 d=0.0948935 t=1433
ji wei 	即爲	c=1 d=0.187308 t=1433
jia 	假	c=1 d=0.316637 t=1433
jia 	加	c=1 d=0.418952 t=1433
jia 	夾	c=1 d=0.158817 t=1433
jia de 	假的	c=1 d=0.0443785 t=1433
jia le 	加了	c=2 d=0.0274785 t=1433
jia shang 	加上	c=1 d=0.344728 t=1433
jia zai 	加載	c=7 d=1.38634 t=1433
jian 	件	c=2 d=0.28003 t=1433
jian dan 	簡單	c=3 d=1.00735 t=1433
jiang 	將	c=2 d=0.413299 t=1433
jiang li 	獎勵	c=1 d=0.109701 t=1433
jiao ben 	腳本	c=2 d=0.395921 t=1433
jiao cheng 	教程	c=1 d=0.551563 t=1433
jiao sha 	叫啥	c=1 d=0.909373 t=1433
jiao wu chu 	教務處	c=1 d=0.946485 t=1433
jiao xue 	教學	c=2 d=1.88362 t=1433
jie gou 	結構	c=1 d=0.273898 t=1433
jie he 	結合	c=1 d=0.0862936 t=1433
jie ya 	解壓	c=1 d=0.143704 t=1433
jin du 	進度	c=2 d=0.0732338 t=1433
jin du tiao 	進度條	c=1 d=0.640824 t=1433
jin jin 	僅僅	c=1 d=0.211189 t=1433
jin qu 	進去	c=0 d=0.0771052 t=1433
jin ru 	進入	c=1 d=0.25924 t=1433
jin tian 	今天	c=7 d=1.73578 t=1433
jin zhi 	進制	c=1 d=0.0106202 t=1433
jing chang 	經常	c=1 d=0.0858632 t=1433
